Judul,Image Link,level_1,level_2,level_3
PENGANTAR ILMU HUKUM ( PROF. DR.MR.L.J. VAN APELDOORN ),https://images.tokopedia.net/img/cache/200-square/product-1/2019/10/10/45139587/45139587_2f1d70fc-4c61-4778-8c40-08945d99faea_688_688.jpg.webp?ect=4g,Buku,Buku Hukum,Buku Politik & Hukum
"Buku Teori Hierarki Norma Hukum Karya Prof. Dr. Jimly Asshiddiqie, S.H",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/4/f505a537-888b-49b2-8b66-05855c1a2420.png.webp?ect=4g,Buku,Buku Hukum,Buku Politik & Hukum
"BUKU ORIGINAL - FILSAFAT HUKUM, PERKEMBANGAN dan DINAMIKA MSLH",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/10/8/71537abd-6e4c-483b-9cae-53cf01a45092.jpg.webp?ect=4g,Buku,Buku Hukum,Buku Politik & Hukum
Green and Blue Constitution - Jimly Asshiddiqie,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/29/6943d17a-2a71-428d-8fa3-aa2e9a9ec3e2.jpg.webp?ect=4g,Buku,Buku Hukum,Buku Politik & Hukum
BUKU KOMPILASI HUKUM ISLAM (KHI) ORIGINAL. NUANSA AULIA,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/20/8e0ebc68-52d3-41f2-a367-be274d01eb61.jpg.webp?ect=4g,Buku,Buku Hukum,Buku Politik & Hukum
"Buku Mengenal Hukum Suatu Pengantar by Prof,Dr,Sudikno Mertokusumo SH",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/14/a989f6cd-35f6-4ec4-a4bd-4f2b2ce9a657.jpg.webp?ect=4g,Buku,Buku Hukum,Buku Politik & Hukum
BUKU ASPEK HUKUM EKONOMI DAN BISNIS EDISI REVISI ORIGINAL- Shidarta,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/1/61a200b1-e6a6-4cce-991c-1b22bcfc332d.jpg.webp?ect=4g,Buku,Buku Hukum,Buku Politik & Hukum
HUKUM PENALARAN DAN PENALARAN HUKUM - SHIDARA,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2022/10/6/81bfd8f0-2cb0-4107-93b3-6093510af3c4.jpg.webp?ect=4g,Buku,Buku Hukum,Buku Politik & Hukum
Peradilan Etik dan Etika Konstitusi - Jimly Asshiddiqie,https://images.tokopedia.net/img/cache/200-square/product-1/2020/8/22/2988281/2988281_435a149c-3e1b-4a50-8585-956e7e8e50ff_2048_2048.webp?ect=4g,Buku,Buku Hukum,Buku Politik & Hukum
Pengantar Ilmu Hukum - R. Soeroso,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/8/31/b0d1c1e0-a617-4af0-bc57-4143ebe4e1f9.jpg.webp?ect=4g,Buku,Buku Hukum,Buku Politik & Hukum
Argumentasi Hukum - Philipus M. Hadjon,https://images.tokopedia.net/img/cache/200-square/product-1/2020/12/17/237886/237886_0bf822fb-b3bf-4aa9-9525-46930b2a5082.jpeg.webp?ect=4g,Buku,Buku Hukum,Buku Politik & Hukum
Buku Perbuatan Melawan Hukum - Rosa Agustina - MA Moegni Djojodirdjo,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/6/22/84164c06-53c1-4d64-8aea-ae7abafefcd7.jpg.webp?ect=4g,Buku,Buku Hukum,Buku Politik & Hukum
Mengenal Filsafat Hukum,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/8/11/469eb597-6a22-4581-a9fd-fe4eaa0be2f0.jpg.webp?ect=4g,Buku,Buku Hukum,Buku Politik & Hukum
Analisis Dan Perancangan Kontrak - Budiono Kusumohamidjojo,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/8/4/fd1b1c32-d901-4e1e-9c65-16f37a5f06ad.jpg.webp?ect=4g,Buku,Buku Hukum,Buku Politik & Hukum
"Poster pahlawan bangsa 24,5 * 34.5 cm",https://images.tokopedia.net/img/cache/200-square/product-1/2020/4/16/1541398/1541398_8b2422c8-05ab-4e84-a77a-98d49e7e34d0_720_720.jpg.webp?ect=4g,Buku,Buku Hukum,Buku Politik & Hukum
mengenal hukum suatu pengantar prof sudikno mertokusumo,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/20/743663d7-bae6-43cb-8a9f-ac7a62220d4d.jpg.webp?ect=4g,Buku,Buku Hukum,Buku Politik & Hukum
Buku The 48 Laws of Power 48 Hukum Kekuasaan,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/2/814cfd76-7681-44c1-87fd-adcaf1832b82.jpg.webp?ect=4g,Buku,Buku Hukum,Buku Politik & Hukum
BUKU POLITIK HUKUM DI INDONESIA BY PROF. DR. MOH. MAHFUD MD,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/13/0fc08fe0-b269-4307-9b3c-204146164e72.jpg.webp?ect=4g,Buku,Buku Hukum,Buku Politik & Hukum
"BUKU TEORI HUKUM BY PROF. DR. SUDIKNO MERTOKUSUMO, S.H",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/14/8f149153-5698-472f-ab20-31e521f3be5a.jpg.webp?ect=4g,Buku,Buku Hukum,Buku Politik & Hukum
